category,medal,team,achievement,date,type
multi,gold,GRX_MLTY,엉망칠창 우승,2026.5,MULTI-GAMING TEAM
multi,gold,GRX_MLTY,천옵대 우승,2026.4,MULTI-GAMING TEAM
minecraft,silver,GRX_MC,충동서버 준우승,2026.4,MINECRAFT TEAM
lol,gold,GRX_LOL,결망전4 우승,2026.03,LEAGUE OF LEGENDS TEAM
vr,gold,GRX_VR,릴동파 2 우승,2026.02,VR TEAM
multi,silver,GRX_MLTY,뿌드컵 준우승,2026.01,FC TEAM
lol,silver,GRX_LOL,땅콩컵 준우승,2026.01,LEAGUE OF LEGENDS TEAM
multi,silver,GRX_MLTY,리매치 준우승,2025.12,MULTI-GAMING TEAM
lol,gold,GRX_LOL,결망전 3 우승,2025.11,LEAGUE OF LEGENDS TEAM
multi,gold,GRX_MLTY,육창서버 우승,2025.10,MULTI-GAMING TEAM
