id,name,status,profileImg,streamTitle,link,boardNo,,
aksen7833,꾸티뉴,offline,img/ggutinho.png,,https://www.sooplive.com/station/aksen7833,55613873,,img/ggutinho.png
land4968,야무지,offline,img/yamuzi.png,,https://www.sooplive.com/station/land4968,93836482,,img/yamuzi.png
whiteone325,난워니,offline,img/nanana.png,,https://www.sooplive.com/station/whiteone325,87341925,,img/nanana.png
northpole,엔쥬,on-air,img/enju.png,레전드 메요일 신캐갑니당🌸챌1 레테 억메중에 가장 찐메,https://www.sooplive.com/station/northpole,89869455,,img/enju.png
lika07,리카,offline,img/lika.png,,https://www.sooplive.com/station/lika07,90082306,,img/lika.png
not15987,다뮤,offline,img/damu.jpeg,,https://www.sooplive.com/station/not15987,111451997,,img/damu.jpeg
dbsk0708,딴딴2당,offline,img/ttanttan.jpeg,,https://www.sooplive.com/station/dbsk0708,109026771,,img/ttanttan.jpeg
wooyah21,바먀,offline,img/baamya.png,,https://www.sooplive.com/station/wooyah21,106500113,,img/baamya.png
o0opha,서라0,offline,img/서라0.jpg,,https://www.sooplive.com/station/o0opha,90637889,,img/서라0.jpg
mint616,임민트,on-air,img/mint.png,3시 주드배그교실 2회차 [꾸한성],https://www.sooplive.com/station/mint616,59042863,,img/mint.png
leesoi34,냥쏘,offline,img/nangsso.png,,https://www.sooplive.com/station/leesoi34,109519005,,img/nangsso.png
niniru,김옥독,on-air,img/okdok.png,신의상 공개 뉴걸왔어요^ㅡ^ [꾸한성],https://www.sooplive.com/station/niniru,113287079,,img/okdok.png
dbsthdus111,윤타미,offline,img/tami.png,,https://www.sooplive.com/station/dbsthdus111,102958293,,img/tami.png
neul0908,모야,offline,img/moya.png,,https://www.sooplive.com/station/neul0908,118928977,,
thtlago0607,소심해,offline,img/sosim.jpeg,,https://www.sooplive.com/station/thtlago0607,114908761,,img/sosim.jpeg
